Churn,ohe__Gender_Female,ohe__Gender_Male,contract_ord__Contract,internet_ord__Internet Type,service_ord__Service_Level,scaler__Age,scaler__Avg Monthly GB Download,scaler__Avg Monthly Long Distance Charges,scaler__Number of Dependents,scaler__Population,scaler__Tenure in Months,scaler__Total Extra Data Charges,scaler__Monthly charge/CLTV,remainder__Device Protection Plan,remainder__Internet Service,remainder__Multiple Lines,remainder__Online Backup,remainder__Online Security,remainder__Paperless Billing,remainder__Partner,remainder__Phone Service,remainder__Premium Tech Support,remainder__Streaming Movies,remainder__Streaming Music,remainder__Streaming TV,remainder__Unlimited Data,remainder__Refunds Awarded,remainder__Phone_Bundle
0,1.0,0.0,0.2890212838293519,-0.6280529909375683,0.30228839669366214,-0.4483642680761578,0.4155552088644254,-0.2621188074050447,2.6292919346903414,-0.982303921530245,-1.034492150118883,-0.27330037394865414,0.5557248071372404,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,0.0,1.0,-0.889656713860356,1.0181610824428906,1.4877099879595101,1.7009969359504944,0.07271190427709617,0.6811054002813711,-0.48683490444316896,-1.0442871255650883,-0.09725900616613314,-0.27330037394865414,3.0499075602881622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
0,1.0,0.0,1.4676992815190597,1.0181610824428906,1.4877099879595101,1.2233611128334605,-0.31910901525128005,-0.8415187153524313,-0.48683490444316896,-0.7552685700616578,1.5734609460974645,-0.27330037394865414,0.6747996636686479,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0,0.0,1.0,-0.889656713860356,-0.6280529909375683,0.30228839669366214,0.029271555040876,-0.6619523198386092,0.7562008073449433,-0.48683490444316896,-1.0434833769239042,-0.9529936158621222,-0.27330037394865414,1.3737657002405577,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1.0,0.0,0.2890212838293519,-1.4511600276277976,-0.8831331945721858,-1.5230448700894839,-1.0047956244259384,-0.8072078828147649,-0.48683490444316896,1.2845509225998843,-0.3010053418080353,-0.27330037394865414,-1.2330406017066577,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1.0,0.0,1.4676992815190597,-0.6280529909375683,0.30228839669366214,-1.4036359143102255,1.5910179674495541,-0.9282668579948334,-0.48683490444316896,-1.0089694646848228,1.4512131447123233,-0.27330037394865414,-0.4865996786474996,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
0,1.0,0.0,-0.889656713860356,1.0181610824428906,0.30228839669366214,0.8054297676060559,-0.31910901525128005,-0.4252571055086664,-0.48683490444316896,1.7048169032754927,1.0844697405568993,-0.27330037394865414,0.24800912483943502,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1.0,0.0,-0.889656713860356,-0.6280529909375683,0.30228839669366214,-0.8065911354139331,-0.5150194750154682,-1.4073237651245163,-0.48683490444316896,-1.0036741795193749,-0.3010053418080353,-0.27330037394865414,0.08177729796874426,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
0,1.0,0.0,-0.889656713860356,-0.6280529909375683,-0.8831331945721858,-0.26925083440727016,0.17066713415919024,-1.4863034173810314,-0.48683490444316896,-0.318833057898699,-1.2789877528891658,-0.27330037394865414,-0.974474820589449,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,1.0,0.0,-0.889656713860356,1.0181610824428906,0.30228839669366214,0.4472029002682806,0.12168951921814321,-1.0331414782043045,-0.48683490444316896,-0.2699935081138072,-1.115990684375644,-0.27330037394865414,0.2731805940505972,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
